StartTime,ActualDuration,Labels,NumThreads,ActualQPS,p50,p90,p99
2020-01-30T01:34:07.638343144Z,240,ba66538f_qps_1000_c_8_1024_mixer_base,8,1000,0.329,0.505,0.79
2020-01-30T01:50:12.117149684Z,240,ba66538f_qps_1000_c_32_1024_mixer_base,32,1000,0.302,0.463,0.758
2020-01-30T01:58:15.537872242Z,240,ba66538f_qps_1000_c_64_1024_mixer_base,64,1000,0.294,0.43,0.789
2020-01-30T01:22:04.775333154Z,240,ba66538f_qps_1000_c_4_1024_mixer_both,4,1000,1.242,1.674,5.046
2020-01-30T01:38:09.046201493Z,240,ba66538f_qps_1000_c_16_1024_mixer_both,16,1000,2.183,4.521,7.734
2020-01-30T01:54:14.735125851Z,240,ba66538f_qps_1000_c_64_1024_mixer_both,64,1000,3.844,8.883,13.721
2020-01-30T01:42:09.782541206Z,240,ba66538f_qps_1000_c_16_1024_mixer_base,16,1000,0.309,0.487,0.766
2020-01-30T01:46:10.61250967Z,240,ba66538f_qps_1000_c_32_1024_mixer_both,32,1000,2.129,5.211,8.378
2020-01-30T01:18:04.00592816Z,240,ba66538f_qps_1000_c_2_1024_mixer_base,2,1000,0.292,0.398,0.594
2020-01-30T01:14:03.219092105Z,240,ba66538f_qps_1000_c_2_1024_mixer_both,2,1000,1.044,1.338,4.521
2020-01-30T01:30:06.924285009Z,240,ba66538f_qps_1000_c_8_1024_mixer_both,8,1000,1.836,2.774,6.633
2020-01-30T01:26:06.201824072Z,240,ba66538f_qps_1000_c_4_1024_mixer_base,4,1000,0.312,0.467,0.722
