StartTime,ActualDuration,Labels,NumThreads,ActualQPS,p50,p90,p99
2020-01-30T00:12:09.72345568Z,240,2debfcc2_qps_1000_c_32_1024_mixer_base,32,1000,0.735,1.77,3.215
2020-01-29T23:44:02.259198179Z,240,2debfcc2_qps_1000_c_4_1024_mixer_both,4,1000,1.42,1.877,5.842
2020-01-29T23:40:01.445704855Z,240,2debfcc2_qps_1000_c_2_1024_mixer_base,2,1000,0.287,0.399,0.682
2020-01-29T23:36:00.716350783Z,240,2debfcc2_qps_1000_c_2_1024_mixer_both,2,1000,1.1,1.41,4.538
2020-01-29T23:56:05.231848031Z,240,2debfcc2_qps_1000_c_8_1024_mixer_base,8,1000,0.443,0.574,0.889
2020-01-30T00:16:10.662203892Z,240,2debfcc2_qps_1000_c_64_1024_mixer_both,64,1000,10.672,16.64,21.849
2020-01-29T23:52:04.508435862Z,240,2debfcc2_qps_1000_c_8_1024_mixer_both,8,1000,2.2,2.972,7.9
2020-01-30T00:00:06.682963301Z,240,2debfcc2_qps_1000_c_16_1024_mixer_both,16,1000,3.614,6.752,9.773
2020-01-30T00:04:07.455877897Z,240,2debfcc2_qps_1000_c_16_1024_mixer_base,16,1000,0.572,0.798,1.487
2020-01-29T23:48:03.780497837Z,240,2debfcc2_qps_1000_c_4_1024_mixer_base,4,1000,0.341,0.465,0.742
2020-01-30T00:08:08.253135471Z,240,2debfcc2_qps_1000_c_32_1024_mixer_both,32,1000,6.509,11.303,15.443
2020-01-30T00:20:11.446841485Z,240,2debfcc2_qps_1000_c_64_1024_mixer_base,64,1000,0.977,3.048,4.35
