StartTime,ActualDuration,Labels,NumThreads,ActualQPS,p50,p90,p99
2020-02-03T20:25:02.47285263Z,240,aa54b130_qps_1000_c_8_1024_mixer_serveronly,8,1000,1.165,1.475,4.627
2020-02-03T20:12:59.15391328Z,240,aa54b130_qps_1000_c_2_1024_mixer_base,2,1000,0.315,0.395,0.509
2020-02-03T20:17:00.078073907Z,240,aa54b130_qps_1000_c_4_1024_mixer_serveronly,4,1000,0.811,0.984,4.1
2020-02-03T20:33:05.353726554Z,240,aa54b130_qps_1000_c_16_1024_mixer_serveronly,16,1000,1.855,2.43,5.812
2020-02-03T20:21:02.016185979Z,240,aa54b130_qps_1000_c_4_1024_mixer_base,4,1000,0.35,0.44,0.565
2020-02-03T20:41:08.346206451Z,240,aa54b130_qps_1000_c_32_1024_mixer_serveronly,32,1000,2.975,5.786,7.698
2020-02-03T20:29:04.870894117Z,240,aa54b130_qps_1000_c_8_1024_mixer_base,8,1000,0.435,0.536,0.696
2020-02-03T20:53:13.222180859Z,240,aa54b130_qps_1000_c_64_1024_mixer_base,64,1000,0.735,1.16,2.874
2020-02-03T20:49:10.809209049Z,240,aa54b130_qps_1000_c_64_1024_mixer_serveronly,64,1000,5.332,8.77,11.559
2020-02-03T20:37:07.359663305Z,240,aa54b130_qps_1000_c_16_1024_mixer_base,16,1000,0.537,0.67,1.051
2020-02-03T20:45:10.303760292Z,240,aa54b130_qps_1000_c_32_1024_mixer_base,32,1000,0.62,0.788,1.828
2020-02-03T20:08:57.228726999Z,240,aa54b130_qps_1000_c_2_1024_mixer_serveronly,2,1000,0.666,0.788,3.505
