StartTime,ActualDuration,Labels,NumThreads,ActualQPS,p50,p90,p99
2020-02-04T07:31:15.0170011Z,240,31056b0a_qps_1000_c_2_1024_mixer_serveronly,2,1000,0.639,0.782,3.163
2020-02-04T08:23:20.399296105Z,240,31056b0a_qps_1000_c_16_1024_mixer_clientonly,16,1000,1.366,1.749,4.882
2020-02-04T07:47:16.636845341Z,240,31056b0a_qps_1000_c_4_1024_mixer_serveronly,4,1000,0.849,1.096,3.91
2020-02-04T08:15:19.531757696Z,240,31056b0a_qps_1000_c_8_1024_mixer_base,8,1000,0.349,0.438,0.584
2020-02-04T09:03:24.982792392Z,240,31056b0a_qps_1000_c_64_1024_mixer_base,64,1000,0.651,0.917,2.332
2020-02-04T07:59:17.835813856Z,240,31056b0a_qps_1000_c_4_1024_mixer_base,4,1000,0.3,0.38,0.488
2020-02-04T07:39:15.81797037Z,240,31056b0a_qps_1000_c_2_1024_mixer_both,2,1000,1.029,1.212,6.0
2020-02-04T08:35:21.683578911Z,240,31056b0a_qps_1000_c_32_1024_mixer_serveronly,32,1000,2.804,5.521,7.275
2020-02-04T08:07:18.692363813Z,240,31056b0a_qps_1000_c_8_1024_mixer_clientonly,8,1000,0.995,1.247,4.227
2020-02-04T08:27:20.837701491Z,240,31056b0a_qps_1000_c_16_1024_mixer_both,16,1000,3.211,6.162,8.188
2020-02-04T08:51:23.479073526Z,240,31056b0a_qps_1000_c_64_1024_mixer_serveronly,64,1000,5.444,9.023,11.805
2020-02-04T08:31:21.248975362Z,240,31056b0a_qps_1000_c_16_1024_mixer_base,16,1000,0.444,0.552,0.971
2020-02-04T08:59:24.523016997Z,240,31056b0a_qps_1000_c_64_1024_mixer_both,64,1000,10.108,15.306,19.481
2020-02-04T08:11:19.136152523Z,240,31056b0a_qps_1000_c_8_1024_mixer_both,8,1000,2.031,2.498,6.693
2020-02-04T08:03:18.253189571Z,240,31056b0a_qps_1000_c_8_1024_mixer_serveronly,8,1000,1.069,1.43,4.69
2020-02-04T08:55:23.988881905Z,240,31056b0a_qps_1000_c_64_1024_mixer_clientonly,64,1000,7.521,11.463,12.436
2020-02-04T07:55:17.445515171Z,240,31056b0a_qps_1000_c_4_1024_mixer_both,4,1000,1.579,1.933,8.425
2020-02-04T08:47:23.002118046Z,240,31056b0a_qps_1000_c_32_1024_mixer_base,32,1000,0.545,0.696,1.68
2020-02-04T07:35:15.41729212Z,240,31056b0a_qps_1000_c_2_1024_mixer_clientonly,2,1000,0.563,0.679,3.016
2020-02-04T07:51:17.052714841Z,240,31056b0a_qps_1000_c_4_1024_mixer_clientonly,4,1000,0.877,1.092,3.768
2020-02-04T07:43:16.217004672Z,240,31056b0a_qps_1000_c_2_1024_mixer_base,2,1000,0.266,0.338,0.436
2020-02-04T08:39:22.112485419Z,240,31056b0a_qps_1000_c_32_1024_mixer_clientonly,32,1000,3.581,6.421,7.76
2020-02-04T08:43:22.562139845Z,240,31056b0a_qps_1000_c_32_1024_mixer_both,32,1000,5.459,9.704,12.759
2020-02-04T08:19:19.961022103Z,240,31056b0a_qps_1000_c_16_1024_mixer_serveronly,16,1000,1.641,2.214,5.72
