StartTime,ActualDuration,Labels,NumThreads,ActualQPS,p50,p90,p99,p99.9
2020-02-05T10:57:40.903972612Z,240,a5a4260f_qps_1000_c_16_1024_mixer_serveronly,16,1000,0.74,1.136,4.285,5.257
2020-02-05T10:33:37.182371029Z,240,a5a4260f_qps_1000_c_4_1024_mixer_both,4,1000,1.19,1.487,8.309,10.569
2020-02-05T10:17:34.41928344Z,240,a5a4260f_qps_1000_c_2_1024_mixer_both,2,1000,1.194,1.465,7.774,9.054
2020-02-05T10:41:38.062938575Z,240,a5a4260f_qps_1000_c_8_1024_mixer_serveronly,8,1000,0.699,0.945,3.68,4.397
2020-02-05T11:09:43.504674597Z,240,a5a4260f_qps_1000_c_16_1024_mixer_base,16,1000,0.283,0.388,0.535,0.948
2020-02-05T10:25:35.772479661Z,240,a5a4260f_qps_1000_c_4_1024_mixer_serveronly,4,1000,0.628,0.777,3.541,4.183
2020-02-05T11:29:46.476947424Z,240,a5a4260f_qps_1000_c_64_1024_mixer_serveronly,64,1000,0.756,1.666,5.268,6.663
2020-02-05T10:09:33.502493364Z,240,a5a4260f_qps_1000_c_2_1024_mixer_serveronly,2,1000,0.554,0.714,3.668,4.256
2020-02-05T10:45:39.000005744Z,240,a5a4260f_qps_1000_c_8_1024_mixer_clientonly,8,1000,0.902,1.287,4.186,5.675
2020-02-05T11:33:47.524386442Z,240,a5a4260f_qps_1000_c_64_1024_mixer_clientonly,64,1000,1.033,2.159,4.514,6.373
2020-02-05T11:13:43.969048983Z,240,a5a4260f_qps_1000_c_32_1024_mixer_serveronly,32,1000,0.757,1.411,4.715,5.838
2020-02-05T11:25:45.95739452Z,240,a5a4260f_qps_1000_c_32_1024_mixer_base,32,1000,0.281,0.385,0.551,1.111
2020-02-05T11:37:48.102722617Z,240,a5a4260f_qps_1000_c_64_1024_mixer_both,64,1000,2.431,7.111,11.597,14.865
2020-02-05T11:01:42.117564018Z,240,a5a4260f_qps_1000_c_16_1024_mixer_clientonly,16,1000,1.473,2.451,5.823,6.957
2020-02-05T11:17:44.459150192Z,240,a5a4260f_qps_1000_c_32_1024_mixer_clientonly,32,1000,1.055,2.997,6.385,8.307
2020-02-05T11:41:48.565704925Z,240,a5a4260f_qps_1000_c_64_1024_mixer_base,64,1000,0.269,0.349,0.551,1.451
2020-02-05T11:21:45.489674085Z,240,a5a4260f_qps_1000_c_32_1024_mixer_both,32,1000,2.073,5.484,8.412,11.933
2020-02-05T10:13:33.92442128Z,240,a5a4260f_qps_1000_c_2_1024_mixer_clientonly,2,1000,0.623,0.753,3.192,4.352
2020-02-05T10:37:37.618930335Z,240,a5a4260f_qps_1000_c_4_1024_mixer_base,4,1000,0.285,0.375,0.499,0.892
2020-02-05T10:53:39.902793324Z,240,a5a4260f_qps_1000_c_8_1024_mixer_base,8,1000,0.285,0.386,0.534,0.964
2020-02-05T10:49:39.470322743Z,240,a5a4260f_qps_1000_c_8_1024_mixer_both,8,1000,1.636,2.31,6.292,7.776
2020-02-05T11:05:42.587634761Z,240,a5a4260f_qps_1000_c_16_1024_mixer_both,16,1000,1.838,2.983,6.887,9.293
2020-02-05T10:29:36.222570176Z,240,a5a4260f_qps_1000_c_4_1024_mixer_clientonly,4,1000,0.887,1.212,4.12,5.446
2020-02-05T10:21:35.337950611Z,240,a5a4260f_qps_1000_c_2_1024_mixer_base,2,1000,0.266,0.343,0.447,0.887
