StartTime,ActualDuration,Labels,NumThreads,ActualQPS,p50,p90,p99
2020-02-05T12:23:26.791603523Z,240,Nighthawk 6f534315_qps_1000_c_8_1024_mixer_serveronly,8,1000,0.566,0.651,3.386
2020-02-05T12:35:39.368188746Z,240,Nighthawk 6f534315_qps_1000_c_8_1024_mixer_base,8,1000,0.301,0.346,0.437
2020-02-05T12:15:18.564997478Z,240,Nighthawk 6f534315_qps_1000_c_4_1024_mixer_both,4,1000,0.932,1.082,4.671
2020-02-05T13:16:22.149515596Z,240,Nighthawk 6f534315_qps_1000_c_64_1024_mixer_clientonly,64,1000,0.553,0.681,3.483
2020-02-05T12:07:10.343059634Z,240,Nighthawk 6f534315_qps_1000_c_4_1024_mixer_serveronly,4,1000,0.553,0.644,3.137
2020-02-05T11:54:56.764429576Z,240,Nighthawk 6f534315_qps_1000_c_2_1024_mixer_clientonly,2,997,0.546,0.642,2.914
2020-02-05T13:04:09.640517044Z,240,Nighthawk 6f534315_qps_1000_c_32_1024_mixer_both,32,1000,0.918,1.156,4.963
2020-02-05T12:47:51.835568057Z,240,Nighthawk 6f534315_qps_1000_c_16_1024_mixer_both,16,1000,0.915,1.294,5.783
2020-02-05T12:43:47.713497390Z,240,Nighthawk 6f534315_qps_1000_c_16_1024_mixer_clientonly,16,1000,0.557,0.669,3.503
2020-02-05T13:08:13.722713827Z,240,Nighthawk 6f534315_qps_1000_c_32_1024_mixer_base,32,1000,0.305,0.348,0.414
2020-02-05T12:19:22.647419027Z,240,Nighthawk 6f534315_qps_1000_c_4_1024_mixer_base,4,1000,0.27,0.323,0.39
2020-02-05T12:03:06.271675491Z,240,Nighthawk 6f534315_qps_1000_c_2_1024_mixer_base,2,1000,0.243,0.303,0.385
2020-02-05T12:51:56.008908066Z,240,Nighthawk 6f534315_qps_1000_c_16_1024_mixer_base,16,1000,0.285,0.334,0.414
2020-02-05T11:50:52.524794613Z,240,Nighthawk 6f534315_qps_1000_c_2_1024_mixer_serveronly,2,1000,0.528,0.61,2.675
2020-02-05T13:24:30.497563984Z,240,Nighthawk 6f534315_qps_1000_c_64_1024_mixer_base,64,1000,0.299,0.344,0.419
2020-02-05T12:31:35.167280345Z,240,Nighthawk 6f534315_qps_1000_c_8_1024_mixer_both,8,1000,0.97,1.168,4.773
2020-02-05T12:39:43.523707770Z,240,Nighthawk 6f534315_qps_1000_c_16_1024_mixer_serveronly,16,1000,0.579,0.67,3.351
2020-02-05T12:56:00.211229191Z,240,Nighthawk 6f534315_qps_1000_c_32_1024_mixer_serveronly,32,1000,0.569,0.657,3.436
2020-02-05T13:12:17.969071354Z,240,Nighthawk 6f534315_qps_1000_c_64_1024_mixer_serveronly,64,1000,0.574,0.649,3.471
2020-02-05T13:00:04.498086496Z,240,Nighthawk 6f534315_qps_1000_c_32_1024_mixer_clientonly,32,1000,0.532,0.657,3.347
2020-02-05T12:11:14.354801587Z,240,Nighthawk 6f534315_qps_1000_c_4_1024_mixer_clientonly,4,1000,0.563,0.655,3.083
2020-02-05T11:59:01.063677330Z,240,Nighthawk 6f534315_qps_1000_c_2_1024_mixer_both,2,973,0.906,1.006,7.43
2020-02-05T13:20:26.235072629Z,240,Nighthawk 6f534315_qps_1000_c_64_1024_mixer_both,64,1000,0.916,1.227,5.352
2020-02-05T12:27:30.779483147Z,240,Nighthawk 6f534315_qps_1000_c_8_1024_mixer_clientonly,8,1000,0.598,0.692,3.445
