StartTime,ActualDuration,Labels,NumThreads,ActualQPS,p50,p90,p99
2020-02-03T16:53:02.342057444Z,240,Nighthawk c04e172b_qps_1000_c_32_1024_mixer_clientonly,32,1000,0.501,0.568,0.616
2020-02-03T17:09:23.908483224Z,240,Nighthawk c04e172b_qps_1000_c_64_1024_mixer_clientonly,64,1000,0.501,0.574,0.634
2020-02-03T16:57:08.148432658Z,240,Nighthawk c04e172b_qps_1000_c_32_1024_mixer_both,32,1000,0.864,0.971,1.074
2020-02-03T17:13:29.771650297Z,240,Nighthawk c04e172b_qps_1000_c_64_1024_mixer_both,64,1000,0.916,1.021,1.127
2020-02-03T16:28:28.510729123Z,240,Nighthawk c04e172b_qps_1000_c_8_1024_mixer_base,8,1000,0.276,0.309,0.332
2020-02-03T15:43:25.913643305Z,240,Nighthawk c04e172b_qps_1000_c_2_1024_mixer_serveronly,2,1000,0.528,0.588,0.629
2020-02-03T16:20:17.171054268Z,240,Nighthawk c04e172b_qps_1000_c_8_1024_mixer_clientonly,8,1000,0.513,0.574,0.619
2020-02-03T16:44:51.257285680Z,240,Nighthawk c04e172b_qps_1000_c_16_1024_mixer_base,16,1000,0.297,0.326,0.345
2020-02-03T16:24:22.825879166Z,240,Nighthawk c04e172b_qps_1000_c_8_1024_mixer_both,8,1000,0.907,1.021,1.103
2020-02-03T15:59:49.356591800Z,240,Nighthawk c04e172b_qps_1000_c_4_1024_mixer_serveronly,4,1000,0.539,0.596,0.638
2020-02-03T17:05:17.728107427Z,240,Nighthawk c04e172b_qps_1000_c_64_1024_mixer_serveronly,64,1000,0.571,0.632,0.697
2020-02-03T16:08:01.241247917Z,240,Nighthawk c04e172b_qps_1000_c_4_1024_mixer_both,4,1000,0.907,1.01,1.097
2020-02-03T15:55:44.324073101Z,240,Nighthawk c04e172b_qps_1000_c_2_1024_mixer_base,2,1000,0.221,0.254,0.275
2020-02-03T15:51:38.692693485Z,240,Nighthawk c04e172b_qps_1000_c_2_1024_mixer_both,2,954,0.884,0.975,1.055
2020-02-03T16:12:06.887423101Z,240,Nighthawk c04e172b_qps_1000_c_4_1024_mixer_base,4,1000,0.261,0.295,0.315
2020-02-03T16:16:11.025566547Z,240,Nighthawk c04e172b_qps_1000_c_8_1024_mixer_serveronly,8,1000,0.564,0.621,0.663
2020-02-03T16:36:38.995348532Z,240,Nighthawk c04e172b_qps_1000_c_16_1024_mixer_clientonly,16,1000,0.532,0.593,0.635
2020-02-03T16:03:55.591623237Z,240,Nighthawk c04e172b_qps_1000_c_4_1024_mixer_clientonly,4,1000,0.535,0.592,0.629
2020-02-03T15:47:31.492027819Z,240,Nighthawk c04e172b_qps_1000_c_2_1024_mixer_clientonly,2,1000,0.54,0.599,0.637
2020-02-03T16:32:32.732651703Z,240,Nighthawk c04e172b_qps_1000_c_16_1024_mixer_serveronly,16,1000,0.571,0.628,0.669
2020-02-03T16:48:55.178667271Z,240,Nighthawk c04e172b_qps_1000_c_32_1024_mixer_serveronly,32,1000,0.582,0.642,0.685
2020-02-03T17:17:35.494891901Z,240,Nighthawk c04e172b_qps_1000_c_64_1024_mixer_base,64,1000,0.284,0.312,0.329
2020-02-03T16:40:44.677860389Z,240,Nighthawk c04e172b_qps_1000_c_16_1024_mixer_both,16,1000,0.909,1.033,1.124
2020-02-03T17:01:13.714057059Z,240,Nighthawk c04e172b_qps_1000_c_32_1024_mixer_base,32,1000,0.293,0.326,0.346
