StartTime,ActualDuration,Labels,NumThreads,ActualQPS,p50,p90,p99,p99.9
2020-02-11T20:57:42.100843708Z,240,cff63081_qps_1000_c_16_1024_mixer_both,16,1000,3.884,5.273,6.291,6.958
2020-02-11T20:33:34.44688314Z,240,cff63081_qps_1000_c_2_1024_mixer_both,2,1000,1.09,1.318,2.394,3.843
2020-02-11T21:53:46.908573434Z,240,6a46cf99_qps_1000_c_8_1024_none_both,8,1000,1.361,1.7,2.081,2.659
2020-02-11T20:45:38.970331455Z,240,cff63081_qps_1000_c_4_1024_mixer_base,4,1000,0.343,0.44,0.597,1.123
2020-02-11T20:41:37.595987738Z,240,cff63081_qps_1000_c_4_1024_mixer_both,4,1000,1.444,1.742,2.896,3.383
2020-02-11T22:05:49.974083828Z,240,6a46cf99_qps_1000_c_16_1024_none_base,16,1000,0.559,0.74,1.429,2.27
2020-02-11T23:29:17.387432857Z,240,6738d31f_qps_1000_c_4_1024_v2-nullvm_both,4,1000,1.164,1.424,1.639,2.059
2020-02-11T20:49:39.79271268Z,240,cff63081_qps_1000_c_8_1024_mixer_both,8,1000,2.013,2.495,3.784,4.793
2020-02-11T22:21:54.648405483Z,240,6a46cf99_qps_1000_c_64_1024_none_base,64,1000,0.936,2.805,4.322,6.613
2020-02-11T22:17:53.184298975Z,240,6a46cf99_qps_1000_c_64_1024_none_both,64,1000,5.537,7.091,8.308,9.467
2020-02-11T23:57:26.394791161Z,240,6738d31f_qps_1000_c_32_1024_v2-nullvm_base,32,1000,0.718,1.634,2.902,4.278
2020-02-11T23:41:20.401400876Z,240,6738d31f_qps_1000_c_8_1024_v2-nullvm_base,8,1000,0.407,0.525,0.754,1.538
2020-02-11T21:45:45.286302397Z,240,6a46cf99_qps_1000_c_4_1024_none_both,4,1000,1.08,1.423,8.667,12.094
2020-02-11T21:37:41.146620648Z,240,6a46cf99_qps_1000_c_2_1024_none_both,2,1000,0.95,1.169,1.25,1.731
2020-02-11T23:37:19.626329235Z,240,6738d31f_qps_1000_c_8_1024_v2-nullvm_both,8,1000,2.111,2.479,2.961,3.423
2020-02-11T23:21:15.784253958Z,240,6738d31f_qps_1000_c_2_1024_v2-nullvm_both,2,1000,1.175,1.659,2.324,2.88
2020-02-11T21:57:48.346519834Z,240,6a46cf99_qps_1000_c_8_1024_none_base,8,1000,0.423,0.54,0.779,1.496
2020-02-11T21:05:43.810661561Z,240,cff63081_qps_1000_c_32_1024_mixer_both,32,1000,5.046,7.175,8.736,9.855
2020-02-11T22:01:49.156801308Z,240,6a46cf99_qps_1000_c_16_1024_none_both,16,1000,2.205,2.718,3.237,3.847
2020-02-11T21:13:46.221060479Z,240,cff63081_qps_1000_c_64_1024_mixer_both,64,1000,9.228,12.253,14.677,15.716
2020-02-11T22:09:51.527277498Z,240,6a46cf99_qps_1000_c_32_1024_none_both,32,1000,3.473,4.297,4.985,5.979
2020-02-11T21:09:45.279173805Z,240,cff63081_qps_1000_c_32_1024_mixer_base,32,1000,0.71,1.58,2.85,4.008
2020-02-11T23:45:21.839497027Z,240,6738d31f_qps_1000_c_16_1024_v2-nullvm_both,16,1000,3.036,3.504,3.99,4.503
2020-02-11T21:41:43.719560889Z,240,6a46cf99_qps_1000_c_2_1024_none_base,2,1000,0.32,0.437,1.066,10.858
2020-02-11T23:53:24.977059657Z,240,6738d31f_qps_1000_c_32_1024_v2-nullvm_both,32,1000,5.315,6.657,7.355,7.968
2020-02-12T00:05:28.339761414Z,240,6738d31f_qps_1000_c_64_1024_v2-nullvm_base,64,1000,0.927,2.793,4.252,5.825
2020-02-11T23:25:16.605453357Z,240,6738d31f_qps_1000_c_2_1024_v2-nullvm_base,2,1000,0.288,0.375,0.528,3.167
2020-02-11T21:01:42.887673361Z,240,cff63081_qps_1000_c_16_1024_mixer_base,16,1000,0.554,0.725,1.346,2.042
2020-02-11T20:53:40.546186264Z,240,cff63081_qps_1000_c_8_1024_mixer_base,8,1000,0.433,0.547,0.781,1.419
2020-02-11T23:33:18.826489082Z,240,6738d31f_qps_1000_c_4_1024_v2-nullvm_base,4,1000,0.336,0.43,0.588,1.392
2020-02-11T23:49:22.602458246Z,240,6738d31f_qps_1000_c_16_1024_v2-nullvm_base,16,1000,0.542,0.71,1.418,2.141
2020-02-11T21:17:47.052395303Z,240,cff63081_qps_1000_c_64_1024_mixer_base,64,1000,0.943,2.792,4.227,6.835
2020-02-12T00:01:27.519813493Z,240,6738d31f_qps_1000_c_64_1024_v2-nullvm_both,64,1000,8.075,10.777,12.347,12.771
2020-02-11T21:49:46.071980977Z,240,6a46cf99_qps_1000_c_4_1024_none_base,4,1000,0.33,0.421,0.577,1.21
2020-02-11T22:13:52.312863956Z,240,6a46cf99_qps_1000_c_32_1024_none_base,32,1000,0.709,1.65,2.946,4.167
2020-02-11T20:37:35.224162976Z,240,cff63081_qps_1000_c_2_1024_mixer_base,2,1000,0.306,0.39,0.535,0.976
