StartTime,ActualDuration,Labels,NumThreads,ActualQPS,p50,p90,p99,cpu_mili_avg_telemetry_mixer,cpu_mili_max_telemetry_mixer,mem_MB_max_telemetry_mixer,cpu_mili_avg_fortioserver_deployment_proxy,cpu_mili_max_fortioserver_deployment_proxy,mem_MB_max_fortioserver_deployment_proxy,cpu_mili_avg_ingressgateway_proxy,cpu_mili_max_ingressgateway_proxy,mem_MB_max_ingressgateway_proxy
2019-11-25T06:22:43.272751772Z,240,0e363ac7_qps_1000_c_64_1024_mixer_base,64,1000,694,2377,3499,1,2,49,3,5,57,29,37,310
2019-11-25T06:18:42.115253016Z,240,0e363ac7_qps_1000_c_64_1024_mixer_both,64,1000,9302,14613,18271,850,1127,49,264,479,57,29,35,310
2019-11-25T06:14:40.885642997Z,240,0e363ac7_qps_1000_c_64_1024_mixer_serveronly,64,1000,5143,8641,10780,430,542,49,176,243,55,29,38,310
2019-11-25T06:10:38.800093978Z,240,0e363ac7_qps_1000_c_32_1024_mixer_base,32,1000,616,1582,2811,1,2,49,2,3,54,29,44,309
2019-11-25T06:06:37.004443Z,240,0e363ac7_qps_1000_c_32_1024_mixer_both,32,1000,5591,9441,12343,892,1790,49,274,397,54,28,36,309
2019-11-25T06:02:35.869591121Z,240,0e363ac7_qps_1000_c_32_1024_mixer_serveronly,32,1000,2747,4437,6972,405,910,49,190,281,53,29,40,309
2019-11-25T05:58:33.23642772Z,240,0e363ac7_qps_1000_c_16_1024_mixer_base,16,1000,443,601,1186,2,15,49,2,4,53,28,32,309
2019-11-25T05:54:32.170806715Z,240,0e363ac7_qps_1000_c_16_1024_mixer_both,16,1000,2977,5959,7909,825,1460,50,300,382,53,29,37,309
2019-11-25T05:50:30.96617666Z,240,0e363ac7_qps_1000_c_16_1024_mixer_serveronly,16,1000,1508,1960,5732,389,691,49,203,288,52,30,39,309
2019-11-25T05:46:28.850156377Z,240,0e363ac7_qps_1000_c_8_1024_mixer_base,8,1000,359,484,696,1,2,49,2,5,52,27,40,309
2019-11-25T05:42:27.53363388Z,240,0e363ac7_qps_1000_c_8_1024_mixer_both,8,1000,1828,2442,6515,845,1372,50,296,419,52,29,47,308
2019-11-25T05:38:26.423993016Z,240,0e363ac7_qps_1000_c_8_1024_mixer_serveronly,8,1000,1370,1948,5699,483,630,49,302,404,51,31,39,308
2019-11-25T05:34:21.238836799Z,240,0e363ac7_qps_1000_c_4_1024_mixer_base,4,1000,308,420,652,2,10,49,2,5,51,30,39,308
2019-11-25T05:30:20.149876921Z,240,0e363ac7_qps_1000_c_4_1024_mixer_both,4,1000,1284,1650,5589,902,1756,49,335,554,51,27,38,308
2019-11-25T05:26:18.73956999Z,240,0e363ac7_qps_1000_c_4_1024_mixer_serveronly,4,1000,814,1068,3755,452,663,91,205,273,50,28,47,308
2019-11-25T05:22:16.533845531Z,240,0e363ac7_qps_1000_c_2_1024_mixer_base,2,1000,290,523,767,4,21,90,2,7,50,27,40,307
2019-11-25T05:18:15.391414433Z,240,0e363ac7_qps_1000_c_2_1024_mixer_both,2,1000,1013,1905,5308,1072,1480,49,393,650,50,30,46,307
2019-11-25T05:14:14.30362517Z,240,0e363ac7_qps_1000_c_2_1024_mixer_serveronly,2,1000,611,793,3269,383,570,49,253,313,50,30,45,307
2019-11-25T05:10:12.298802712Z,240,0e363ac7_qps_1000_c_1_1024_mixer_base,1,1000,224,275,373,1,2,48,2,6,49,28,39,306
2019-11-25T05:06:11.147950138Z,240,0e363ac7_qps_1000_c_1_1024_mixer_both,1,1000,836,965,6000,828,1042,45,343,638,49,27,32,306
2019-11-25T05:02:10.0586652Z,240,0e363ac7_qps_1000_c_1_1024_mixer_serveronly,1,1000,469,559,2695,436,841,41,292,427,48,28,41,306
