StartTime,ActualDuration,Labels,NumThreads,ActualQPS,p50,p90,p99,cpu_mili_avg_telemetry_mixer,cpu_mili_max_telemetry_mixer,mem_MB_max_telemetry_mixer,cpu_mili_avg_fortioserver_deployment_proxy,cpu_mili_max_fortioserver_deployment_proxy,mem_MB_max_fortioserver_deployment_proxy,cpu_mili_avg_ingressgateway_proxy,cpu_mili_max_ingressgateway_proxy,mem_MB_max_ingressgateway_proxy
2019-12-02T16:28:57.477904576Z,240,341de6d6_qps_1000_c_64_1024_v2-nullvm_base,64,1000,901,2897,4421,1,4,51,2,5,61,33,48,321
2019-12-02T16:24:55.37928525Z,240,341de6d6_qps_1000_c_64_1024_v2-nullvm_both,64,1000,5768,7327,8607,0,2,51,151,195,61,38,56,321
2019-12-02T16:20:54.089038363Z,240,341de6d6_qps_1000_c_64_1024_v2-nullvm_serveronly,64,1000,3411,4885,6591,1,2,51,100,163,61,34,50,321
2019-12-02T16:16:51.879631953Z,240,341de6d6_qps_1000_c_32_1024_v2-nullvm_base,32,1000,690,1883,3216,0,2,51,2,3,61,33,46,321
2019-12-02T16:12:49.748116321Z,240,341de6d6_qps_1000_c_32_1024_v2-nullvm_both,32,1000,3520,4454,5689,1,5,51,148,207,61,34,45,321
2019-12-02T16:08:48.60907248Z,240,341de6d6_qps_1000_c_32_1024_v2-nullvm_serveronly,32,1000,2002,2868,4254,1,2,51,124,230,61,33,48,321
2019-12-02T16:04:45.869994988Z,240,341de6d6_qps_1000_c_16_1024_v2-nullvm_base,16,1000,559,769,1705,1,2,51,2,4,61,35,46,321
2019-12-02T16:00:43.918645383Z,240,341de6d6_qps_1000_c_16_1024_v2-nullvm_both,16,1000,2215,2804,3332,1,6,51,171,220,61,31,45,321
2019-12-02T15:56:42.76271067Z,240,341de6d6_qps_1000_c_16_1024_v2-nullvm_serveronly,16,1000,1374,1729,2415,1,4,51,129,214,61,33,44,321
2019-12-02T15:52:41.084257554Z,240,341de6d6_qps_1000_c_8_1024_v2-nullvm_base,8,1000,433,562,859,1,2,51,2,3,61,32,40,321
2019-12-02T15:48:39.052580891Z,240,341de6d6_qps_1000_c_8_1024_v2-nullvm_both,8,1000,1453,1796,2207,1,2,51,198,247,61,32,39,321
2019-12-02T15:44:37.933005855Z,240,341de6d6_qps_1000_c_8_1024_v2-nullvm_serveronly,8,1000,936,1239,1618,0,2,51,142,247,61,35,46,321
2019-12-02T15:40:36.864685389Z,240,341de6d6_qps_1000_c_4_1024_v2-nullvm_base,4,1000,347,460,688,1,2,51,3,7,61,34,50,321
2019-12-02T15:36:34.659172086Z,240,341de6d6_qps_1000_c_4_1024_v2-nullvm_both,4,1000,1000,1230,1493,1,2,51,195,276,61,34,46,321
2019-12-02T15:32:33.324285098Z,240,341de6d6_qps_1000_c_4_1024_v2-nullvm_serveronly,4,1000,687,949,1235,1,2,51,133,231,61,33,44,321
2019-12-02T15:28:32.151043014Z,240,341de6d6_qps_1000_c_2_1024_v2-nullvm_base,2,1000,293,388,593,1,3,51,2,4,61,34,45,321
2019-12-02T15:24:29.598687302Z,240,341de6d6_qps_1000_c_2_1024_v2-nullvm_both,2,1000,826,969,1218,1,3,51,235,413,61,36,58,321
2019-12-02T15:20:28.482397312Z,240,341de6d6_qps_1000_c_2_1024_v2-nullvm_serveronly,2,1000,529,681,879,1,5,51,164,270,61,35,43,321
2019-12-02T15:16:26.789064807Z,240,341de6d6_qps_1000_c_1_1024_v2-nullvm_base,1,1000,251,310,391,1,4,51,2,3,61,36,51,321
2019-12-02T15:12:24.762020114Z,240,341de6d6_qps_1000_c_1_1024_v2-nullvm_both,1,1000,667,791,946,1,2,51,216,263,61,31,38,321
2019-12-02T15:08:23.648662321Z,240,341de6d6_qps_1000_c_1_1024_v2-nullvm_serveronly,1,1000,429,533,680,1,2,51,162,403,61,34,40,321
2019-12-02T08:42:19.676859145Z,240,6553a2e1_qps_1000_c_64_1024_nomixer_base,64,1000,881,2920,4545,0,3,51,3,6,60,28,35,316
2019-12-02T08:38:16.217361794Z,240,6553a2e1_qps_1000_c_64_1024_nomixer_both,64,1000,6020,7948,9394,0,2,51,135,185,59,32,47,316
2019-12-02T08:34:14.986630001Z,240,6553a2e1_qps_1000_c_64_1024_nomixer_serveronly,64,1000,3495,4923,6749,1,4,51,100,226,59,31,48,316
2019-12-02T08:30:13.79782545Z,240,6553a2e1_qps_1000_c_32_1024_nomixer_base,32,1000,679,1751,3134,1,4,51,2,6,59,30,38,316
2019-12-02T08:26:11.695646944Z,240,6553a2e1_qps_1000_c_32_1024_nomixer_both,32,1000,3868,4721,5828,0,2,51,148,313,59,30,39,316
2019-12-02T08:22:08.816037118Z,240,6553a2e1_qps_1000_c_32_1024_nomixer_serveronly,32,1000,2479,3150,4402,0,2,51,119,201,59,28,35,316
2019-12-02T08:18:07.721683067Z,240,6553a2e1_qps_1000_c_16_1024_nomixer_base,16,1000,527,699,1444,1,3,51,2,4,59,29,40,316
2019-12-02T08:14:05.443735561Z,240,6553a2e1_qps_1000_c_16_1024_nomixer_both,16,1000,2116,2525,2998,1,3,51,156,274,59,30,41,316
2019-12-02T08:10:04.265236224Z,240,6553a2e1_qps_1000_c_16_1024_nomixer_serveronly,16,1000,1235,1618,2234,0,2,51,122,178,59,30,38,315
2019-12-02T08:06:03.143573943Z,240,6553a2e1_qps_1000_c_8_1024_nomixer_base,8,1000,406,529,783,1,2,51,2,3,59,31,42,315
2019-12-02T08:02:00.362462424Z,240,6553a2e1_qps_1000_c_8_1024_nomixer_both,8,1000,1296,1634,1971,1,4,51,185,345,59,32,41,315
2019-12-02T07:57:59.261750957Z,240,6553a2e1_qps_1000_c_8_1024_nomixer_serveronly,8,1000,835,1143,1463,0,1,51,144,183,59,30,37,315
2019-12-02T07:53:58.1044645Z,240,6553a2e1_qps_1000_c_4_1024_nomixer_base,4,1000,330,438,668,0,3,51,2,3,59,32,46,315
2019-12-02T07:49:55.857959463Z,240,6553a2e1_qps_1000_c_4_1024_nomixer_both,4,1000,997,1234,1490,0,2,51,190,291,59,30,39,315
2019-12-02T07:45:54.755212882Z,240,6553a2e1_qps_1000_c_4_1024_nomixer_serveronly,4,1000,602,792,1028,0,1,51,164,204,59,29,41,315
2019-12-02T07:41:53.705947564Z,240,6553a2e1_qps_1000_c_2_1024_nomixer_base,2,1000,282,386,589,0,2,51,2,4,59,30,38,315
2019-12-02T07:37:51.698184412Z,240,6553a2e1_qps_1000_c_2_1024_nomixer_both,2,1000,725,866,1088,0,1,51,229,373,59,30,43,315
2019-12-02T07:33:50.590281624Z,240,6553a2e1_qps_1000_c_2_1024_nomixer_serveronly,2,1000,454,573,756,0,2,51,185,242,59,30,35,314
2019-12-02T07:29:49.512518173Z,240,6553a2e1_qps_1000_c_1_1024_nomixer_base,1,1000,221,268,348,0,2,51,3,7,59,30,41,314
2019-12-02T07:25:47.434460467Z,240,6553a2e1_qps_1000_c_1_1024_nomixer_both,1,1000,612,752,892,1,2,51,213,251,59,31,38,314
2019-12-02T07:21:44.557003778Z,240,6553a2e1_qps_1000_c_1_1024_nomixer_serveronly,1,1000,390,492,637,1,2,51,177,345,59,31,45,314
2019-12-02T06:57:45.757655036Z,240,10383acc_qps_1000_c_64_1024_mixer_base,64,1000,855,2788,4203,1,2,50,3,4,56,29,40,313
