StartTime,ActualDuration,Labels,NumThreads,ActualQPS,p50,p90,p99,cpu_mili_avg_telemetry_mixer,cpu_mili_max_telemetry_mixer,mem_MB_max_telemetry_mixer,cpu_mili_avg_fortioserver_deployment_proxy,cpu_mili_max_fortioserver_deployment_proxy,mem_MB_max_fortioserver_deployment_proxy,cpu_mili_avg_ingressgateway_proxy,cpu_mili_max_ingressgateway_proxy,mem_MB_max_ingressgateway_proxy
2019-12-02T06:58:03.945872714Z,240,a1c91bbb_qps_1000_c_64_1024_linkerd_base,64,1000,795,2701,4045,1,2,50,2,4,56,28,40,313
2019-12-02T06:54:02.747574531Z,240,a1c91bbb_qps_1000_c_64_1024_linkerd_both,64,1000,13088,16727,19552,851,1221,50,276,460,56,28,43,312
2019-12-02T06:50:01.45868325Z,240,a1c91bbb_qps_1000_c_64_1024_linkerd_serveronly,64,1000,11130,14514,17448,406,818,50,217,304,55,30,39,312
2019-12-02T06:46:00.306587523Z,240,a1c91bbb_qps_1000_c_32_1024_linkerd_base,32,1000,638,1740,2985,1,3,50,2,4,54,29,33,312
2019-12-02T06:41:59.188651128Z,240,a1c91bbb_qps_1000_c_32_1024_linkerd_both,32,1000,7249,8907,10400,943,1783,50,299,524,54,29,40,312
2019-12-02T06:37:57.740070494Z,240,a1c91bbb_qps_1000_c_32_1024_linkerd_serveronly,32,1000,6122,7723,9304,417,807,50,212,329,53,30,40,312
2019-12-02T06:33:56.5730345Z,240,a1c91bbb_qps_1000_c_16_1024_linkerd_base,16,1000,521,694,1370,1,12,50,3,6,53,30,38,312
2019-12-02T06:29:55.459924518Z,240,a1c91bbb_qps_1000_c_16_1024_linkerd_both,16,1000,4532,5451,5998,904,1454,50,351,650,52,31,41,311
2019-12-02T06:25:54.283763093Z,240,a1c91bbb_qps_1000_c_16_1024_linkerd_serveronly,16,1000,3805,4720,5852,471,620,50,248,354,52,33,45,311
2019-12-02T06:21:53.20790498Z,240,a1c91bbb_qps_1000_c_8_1024_linkerd_base,8,1000,470,625,964,1,2,50,2,4,52,34,45,311
2019-12-02T06:17:52.049827305Z,240,a1c91bbb_qps_1000_c_8_1024_linkerd_both,8,1000,3098,3809,4428,931,1684,50,323,414,51,35,45,311
2019-12-02T06:13:50.936525859Z,240,a1c91bbb_qps_1000_c_8_1024_linkerd_serveronly,8,1000,2573,3242,3859,439,753,50,237,520,51,34,55,310
2019-12-02T06:09:49.828989599Z,240,a1c91bbb_qps_1000_c_4_1024_linkerd_base,4,1000,407,584,832,1,2,50,3,7,51,35,44,310
2019-12-02T06:05:48.643433383Z,240,a1c91bbb_qps_1000_c_4_1024_linkerd_both,4,1000,2130,2535,2983,928,1718,50,349,453,51,35,51,310
2019-12-02T06:01:47.467041708Z,240,a1c91bbb_qps_1000_c_4_1024_linkerd_serveronly,4,1000,1679,2073,2481,477,556,50,274,361,50,34,46,310
2019-12-02T05:57:46.360620349Z,240,a1c91bbb_qps_1000_c_2_1024_linkerd_base,2,1000,335,510,699,1,4,50,3,7,50,36,43,310
2019-12-02T05:53:45.250485061Z,240,a1c91bbb_qps_1000_c_2_1024_linkerd_both,2,1000,1304,1544,1809,862,1749,48,356,453,50,30,43,310
2019-12-02T05:49:43.485978815Z,240,a1c91bbb_qps_1000_c_2_1024_linkerd_serveronly,2,1000,1095,1280,1495,433,551,46,253,412,50,30,40,310
2019-12-02T05:45:42.388568462Z,240,a1c91bbb_qps_1000_c_1_1024_linkerd_base,1,1000,233,292,434,1,2,46,2,4,48,31,44,309
2019-12-02T05:41:41.305761507Z,240,a1c91bbb_qps_1000_c_1_1024_linkerd_both,1,980,958,1163,1249,911,1530,45,379,683,48,32,38,309
2019-12-02T05:37:40.186371361Z,240,a1c91bbb_qps_1000_c_1_1024_linkerd_serveronly,1,1000,769,889,1114,454,916,41,295,382,48,32,44,309
