StartTime,ActualDuration,Labels,NumThreads,ActualQPS,p50,p90,p99,cpu_mili_avg_telemetry_mixer,cpu_mili_max_telemetry_mixer,mem_MB_max_telemetry_mixer,cpu_mili_avg_fortioserver_deployment_proxy,cpu_mili_max_fortioserver_deployment_proxy,mem_MB_max_fortioserver_deployment_proxy,cpu_mili_avg_ingressgateway_proxy,cpu_mili_max_ingressgateway_proxy,mem_MB_max_ingressgateway_proxy
2019-12-05T02:27:02.080830116Z,240,38dd7393_qps_1000_c_64_1024_linkerd_base,64,1000,780,2632,3869,1,2,57,6,10,98,35,51,238
2019-12-05T02:23:01.262025473Z,240,38dd7393_qps_1000_c_64_1024_linkerd_both,64,1000,7791,11116,12469,1,2,57,191,314,98,34,46,238
2019-12-05T02:18:59.357348081Z,240,38dd7393_qps_1000_c_64_1024_linkerd_serveronly,64,1000,5802,8275,11506,0,2,57,196,240,97,36,54,238
2019-12-05T02:14:58.493983853Z,240,38dd7393_qps_1000_c_32_1024_linkerd_base,32,1000,874,2814,5150,0,2,57,6,9,96,37,53,238
2019-12-05T02:10:57.678989305Z,240,38dd7393_qps_1000_c_32_1024_linkerd_both,32,1000,5359,6959,8668,0,2,57,235,358,96,31,44,238
2019-12-05T02:06:55.063266488Z,240,38dd7393_qps_1000_c_32_1024_linkerd_serveronly,32,1000,2242,3041,4188,0,2,57,139,278,95,30,43,238
2019-12-05T02:02:53.559931457Z,240,38dd7393_qps_1000_c_16_1024_linkerd_base,16,1000,504,723,1477,1,2,57,5,14,95,33,49,238
2019-12-05T01:58:52.791316222Z,240,38dd7393_qps_1000_c_16_1024_linkerd_both,16,1000,3500,4150,5651,0,2,57,268,352,94,32,40,238
2019-12-05T01:32:04.246331658Z,240,38dd7393_qps_1000_c_16_1024_linkerd_serveronly,16,1000,1402,1802,2369,1,5,57,159,319,94,28,41,238
2019-12-05T01:28:03.47908399Z,240,38dd7393_qps_1000_c_8_1024_linkerd_base,8,1000,368,489,742,0,2,57,5,11,93,29,42,238
2019-12-05T01:23:59.624542513Z,240,38dd7393_qps_1000_c_8_1024_linkerd_both,8,1000,1872,2222,2552,0,2,57,193,381,93,29,40,238
2019-12-05T01:19:58.876591699Z,240,38dd7393_qps_1000_c_8_1024_linkerd_serveronly,8,1000,1078,1397,1713,0,2,57,158,208,93,30,44,238
2019-12-05T01:15:57.673243443Z,240,38dd7393_qps_1000_c_4_1024_linkerd_base,4,1000,347,484,699,1,5,57,4,6,93,31,38,238
2019-12-05T01:11:56.014030051Z,240,38dd7393_qps_1000_c_4_1024_linkerd_both,4,1000,1097,1346,1590,0,3,57,232,304,93,28,36,238
2019-12-05T01:07:55.191808433Z,240,38dd7393_qps_1000_c_4_1024_linkerd_serveronly,4,1000,682,885,1187,1,4,57,213,276,92,30,39,238
2019-12-05T01:03:54.381949471Z,240,38dd7393_qps_1000_c_2_1024_linkerd_base,2,1000,292,437,616,0,3,57,5,7,92,30,38,237
2019-12-05T00:59:52.878729679Z,240,38dd7393_qps_1000_c_2_1024_linkerd_both,2,1000,954,1176,1380,0,2,57,280,416,92,28,43,237
2019-12-05T00:55:52.0716111Z,240,38dd7393_qps_1000_c_2_1024_linkerd_serveronly,2,1000,590,784,985,0,1,57,217,405,92,30,38,237
2019-12-05T00:51:51.357703955Z,240,38dd7393_qps_1000_c_1_1024_linkerd_base,1,1000,226,280,400,1,3,57,5,9,92,30,38,237
2019-12-05T00:47:49.743597076Z,240,38dd7393_qps_1000_c_1_1024_linkerd_both,1,1000,773,886,1086,1,4,57,260,340,91,28,34,237
2019-12-05T00:43:48.912859512Z,240,38dd7393_qps_1000_c_1_1024_linkerd_serveronly,1,1000,475,562,695,1,5,57,240,475,91,30,36,237
