StartTime,ActualDuration,Labels,NumThreads,ActualQPS,p50,p90,p99,cpu_mili_avg_telemetry_mixer,cpu_mili_max_telemetry_mixer,mem_MB_max_telemetry_mixer,cpu_mili_avg_fortioserver_deployment_proxy,cpu_mili_max_fortioserver_deployment_proxy,mem_MB_max_fortioserver_deployment_proxy,cpu_mili_avg_ingressgateway_proxy,cpu_mili_max_ingressgateway_proxy,mem_MB_max_ingressgateway_proxy
2019-11-25T06:22:56.318844666Z,240,b4b39c84_qps_1000_c_64_1024_linkerd_base,64,1000,692,2359,3466,1,2,49,2,5,57,28,37,310
2019-11-25T06:18:55.142540112Z,240,b4b39c84_qps_1000_c_64_1024_linkerd_both,64,1000,12637,16150,17483,838,1127,49,264,479,57,28,33,310
2019-11-25T06:14:53.506234216Z,240,b4b39c84_qps_1000_c_64_1024_linkerd_serveronly,64,1000,10217,12455,15871,425,542,49,180,243,55,28,38,310
2019-11-25T06:10:52.379101315Z,240,b4b39c84_qps_1000_c_32_1024_linkerd_base,32,1000,531,1446,2458,1,2,49,2,3,54,29,44,309
2019-11-25T06:06:51.097653674Z,240,b4b39c84_qps_1000_c_32_1024_linkerd_both,32,1000,7007,8707,9970,869,1790,49,286,398,54,29,35,309
2019-11-25T06:02:49.88242112Z,240,b4b39c84_qps_1000_c_32_1024_linkerd_serveronly,32,1000,5583,6962,8595,444,910,49,194,281,54,29,37,309
2019-11-25T05:58:48.781810275Z,240,b4b39c84_qps_1000_c_16_1024_linkerd_base,16,1000,449,626,1179,2,15,49,2,4,53,28,32,309
2019-11-25T05:54:47.576061086Z,240,b4b39c84_qps_1000_c_16_1024_linkerd_both,16,1000,4106,4930,5907,882,1460,50,307,382,53,28,36,309
2019-11-25T05:50:46.479226214Z,240,b4b39c84_qps_1000_c_16_1024_linkerd_serveronly,16,1000,3224,3974,4835,385,691,49,219,364,52,29,35,309
2019-11-25T05:46:45.149504683Z,240,b4b39c84_qps_1000_c_8_1024_linkerd_base,8,1000,386,542,793,1,2,49,2,5,52,30,46,309
2019-11-25T05:42:44.094065847Z,240,b4b39c84_qps_1000_c_8_1024_linkerd_both,8,1000,2581,3099,3656,852,1372,50,304,411,52,30,46,308
2019-11-25T05:38:43.004519526Z,240,b4b39c84_qps_1000_c_8_1024_linkerd_serveronly,8,1000,2050,2495,2990,524,947,49,324,598,51,31,39,308
2019-11-25T05:34:41.966485606Z,240,b4b39c84_qps_1000_c_4_1024_linkerd_base,4,1000,334,501,723,2,10,49,2,5,51,30,36,308
2019-11-25T05:30:40.900799625Z,240,b4b39c84_qps_1000_c_4_1024_linkerd_both,4,1000,1806,2147,2408,839,1474,49,353,607,51,27,35,308
2019-11-25T05:26:39.524504314Z,240,b4b39c84_qps_1000_c_4_1024_linkerd_serveronly,4,1000,1453,1800,2156,386,575,91,201,273,50,28,50,308
2019-11-25T05:22:38.474831862Z,240,b4b39c84_qps_1000_c_2_1024_linkerd_base,2,1000,267,428,638,3,16,90,2,7,50,27,49,307
2019-11-25T05:18:37.396116924Z,240,b4b39c84_qps_1000_c_2_1024_linkerd_both,2,1000,1209,1461,1711,1019,1616,86,375,650,50,32,46,307
2019-11-25T05:14:36.334163164Z,240,b4b39c84_qps_1000_c_2_1024_linkerd_serveronly,2,1000,1054,1286,1575,396,570,49,250,313,50,28,41,307
2019-11-25T05:10:35.259657047Z,240,b4b39c84_qps_1000_c_1_1024_linkerd_base,1,1000,227,286,396,1,2,48,2,6,49,29,39,306
2019-11-25T05:06:33.694266243Z,240,b4b39c84_qps_1000_c_1_1024_linkerd_both,1,999,947,1139,1246,876,1282,45,344,638,49,28,46,306
2019-11-25T05:02:32.572634403Z,240,b4b39c84_qps_1000_c_1_1024_linkerd_serveronly,1,1000,754,872,1076,417,841,41,274,427,48,28,37,306
