StartTime,ActualDuration,Labels,NumThreads,ActualQPS,p50,p90,p99,cpu_mili_avg_telemetry_mixer,cpu_mili_max_telemetry_mixer,mem_MB_max_telemetry_mixer,cpu_mili_avg_fortioserver_deployment_proxy,cpu_mili_max_fortioserver_deployment_proxy,mem_MB_max_fortioserver_deployment_proxy,cpu_mili_avg_ingressgateway_proxy,cpu_mili_max_ingressgateway_proxy,mem_MB_max_ingressgateway_proxy
2020-01-03T20:24:45.295489447Z,240,e9760a9e_qps_1000_c_64_1024_mixer_base,64,1000,789,1197,2446,2,5,89,3,5,45,15,24,154
2020-01-03T20:20:43.381514946Z,240,e9760a9e_qps_1000_c_64_1024_mixer_both,64,1000,11822,18143,22921,1032,1719,87,307,592,45,14,20,154
2020-01-03T20:16:42.390212452Z,240,e9760a9e_qps_1000_c_64_1024_mixer_serveronly,64,1000,6131,10465,12594,568,878,89,224,349,43,15,18,154
2020-01-03T20:12:41.556448044Z,240,e9760a9e_qps_1000_c_32_1024_mixer_base,32,1000,643,830,1686,2,5,89,3,4,42,15,21,153
2020-01-03T20:08:40.022098962Z,240,e9760a9e_qps_1000_c_32_1024_mixer_both,32,1000,6499,11389,14415,1163,1590,86,310,402,42,14,21,153
2020-01-03T20:04:39.148204164Z,240,e9760a9e_qps_1000_c_32_1024_mixer_serveronly,32,1000,3295,6469,9314,594,698,92,237,316,42,15,25,153
2020-01-03T20:00:38.394826745Z,240,e9760a9e_qps_1000_c_16_1024_mixer_base,16,1000,504,635,991,2,5,90,3,5,41,13,19,153
2020-01-03T19:56:36.829121345Z,240,e9760a9e_qps_1000_c_16_1024_mixer_both,16,1000,3488,6428,9120,1089,1677,88,321,708,41,12,17,153
2020-01-03T19:52:34.438272612Z,240,e9760a9e_qps_1000_c_16_1024_mixer_serveronly,16,1000,2065,2907,6393,547,744,88,246,379,40,13,15,153
2020-01-03T19:48:33.67869452Z,240,e9760a9e_qps_1000_c_8_1024_mixer_base,8,1000,516,638,856,2,6,88,2,4,40,13,23,152
2020-01-03T19:44:32.228833678Z,240,e9760a9e_qps_1000_c_8_1024_mixer_both,8,1000,2520,3238,7816,1119,1730,88,430,613,40,13,16,152
2020-01-03T19:40:31.499409731Z,240,e9760a9e_qps_1000_c_8_1024_mixer_serveronly,8,1000,1439,1738,5571,529,1090,89,302,641,40,14,21,152
2020-01-03T19:36:30.766694682Z,240,e9760a9e_qps_1000_c_4_1024_mixer_base,4,1000,466,561,736,3,14,89,2,6,40,14,17,152
2020-01-03T19:32:29.333268267Z,240,e9760a9e_qps_1000_c_4_1024_mixer_both,4,1000,1759,2116,6559,1041,1626,85,511,841,39,14,19,152
2020-01-03T19:28:28.606495434Z,240,e9760a9e_qps_1000_c_4_1024_mixer_serveronly,4,1000,1023,1351,4209,500,577,91,239,508,39,12,17,151
2020-01-03T19:24:27.298742155Z,240,e9760a9e_qps_1000_c_2_1024_mixer_base,2,1000,291,366,477,2,4,90,2,3,38,12,16,151
2020-01-03T19:20:25.901141961Z,240,e9760a9e_qps_1000_c_2_1024_mixer_both,2,1000,1156,1440,7224,1231,2277,86,359,477,38,12,16,151
2020-01-03T19:16:25.201597738Z,240,e9760a9e_qps_1000_c_2_1024_mixer_serveronly,2,1000,782,898,4639,579,1072,45,425,582,38,14,22,151
2020-01-03T19:12:24.491718861Z,240,e9760a9e_qps_1000_c_1_1024_mixer_base,1,1000,291,357,457,1,3,45,3,6,38,13,18,150
2020-01-03T19:08:22.999846829Z,240,e9760a9e_qps_1000_c_1_1024_mixer_both,1,796,1120,1359,7525,963,1655,43,374,590,37,13,19,150
2020-01-03T19:04:22.261863865Z,240,e9760a9e_qps_1000_c_1_1024_mixer_serveronly,1,1000,644,774,3250,565,881,38,353,605,36,14,17,150
